ID,Prediction
7939__brow_42__parallels_30,0.0
3059__unfortunate_28__hangover_29,1.0
3413__original_12__balance_2,0.0
7760__form_15__setting_12,0.0
381__left_6__revolution_4,1.0
261__parties_12__centre_11,1.0
7696__hand_7__cancel_11,0.0
3251__modes_39__imposes_34,0.0
3378__finely_8__veined_9,1.0
7719__Flow_1__patterns_2,2.0
3428__supporters_3__warm-blooded_2,1.5
2259__heard_2__strike_7,0.0
5944__sheet_2__shower_14,0.0
2360__functions_21__plan_6,0.5
1138__cathedrals_9__rich_5,1.5
431__expression_18__concrete_17,2.0
281__release_23__attached_20,1.0
330__parenthood_10__meeting_14,0.0
6118__worry_12__coming_15,0.0
7687__electric_9__concerned_3,0.0
1431__treatment_6__pays_2,0.0
3314__algae_4__Canals_1,0.5
7664__significance_22__fields_27,0.0
6104__shadow_11__cast_12,2.0
7614__function_9__satisfy_17,0.0
273__rule_2__thumb_4,1.5
275__house_5__half-way_4,1.5
7696__cancel_11__hand_7,0.0
3279__life_19__mode_17,0.5
1107__concept_5__spread_7,1.0
7780__character_12__makes_14,0.0
60__reform_17__constitutional_16,0.5
3319__productive_15__seams_17,1.5
7697__strength_4__field_3,0.5
3398__life_32__habits_33,0.0
2340__questions_7__handle_5,1.0
317__virtually_40__ensuring_36,0.0
6126__film_33__frightening_32,0.0
7887__loincloth_5__lying_15,0.0
338__children_26__-eyed_25,0.0
7665__electric_9__fields_10,1.0
7693__cylindrical_12__beam_13,0.0
7673__electron_10__section_4,0.0
7940__parish_7__tried_15,0.0
7612__alternative_10__introduce_6,0.0
311__sounds_11__ingredients_14,1.0
256__inferior_25__system_28,0.0
334__feature_21__characters_24,1.0
212__designed_13__act_15,0.0
378__characteristically_3__strong_4,0.0
12594__nines_3__takes_10,0.0
12568__time_14__shared_10,0.0
10474__hell_6__bloody_5,1.0
309__level_8__oppressive_11,2.0
3067__gurus_25__dime_27,0.0
7679__direction_9__force_3,0.0
5884__daughter_21__led_19,0.0
7613__proved_14__function_12,1.0
6007__reputation_8__look_16,0.5
1127__garden_26__look_20,0.0
3432__pros_2__subject_10,0.5
2369__nationals_6__stand_10,1.0
2398__dollar_6__bottom_5,2.0
10654__tha_2__lots_4,0.0
5954__grass_28__ragged_27,1.5
3056__villagers_2__explained_13,0.0
76__comparable_12__scenes_15,0.0
6063__conversation_2__subject_7,0.0
7751__interrupted_35__soaring_37,1.0
7660__defined_38__formulae_27,0.0
7881__print_17__accompanying_16,0.5
7948__play_2__Foul_1,1.0
15225__little_2__sod_3,1.5
5920__inch_12__depth_14,0.5
57__workers_7__rights_10,0.0
1446__shine_10__light_11,0.5
7657__potential_3__popular_7,0.5
425__becoming_7__dying_5,0.0
15087__bought_4__comes_12,0.0
1447__produced_8__dug_16,0.0
3388__evidence_9__sources_7,1.0
350__prevents_18__spending_20,0.5
7956__shaken_4__fist_7,1.0
3433__argument_5__lot_2,0.5
7688__particles_3__charged_2,0.5
1116__timeless_17__air_18,2.0
7937__Garden_27__aiming_22,0.0
7676__follows_18__obtained_6,0.0
2__error_20__fatal_19,1.0
289__regarded_10__destined_12,0.5
7660__terms_46__potential_50,0.5
6044__wolf_8__fold_11,2.0
7670__electron_25__called_23,0.0
246__decided_23__oppose_26,0.0
7676__field_55__component_51,0.0
357__paraphernalia_23__world_29,1.0
3245__sediments_2__shown_14,0.0
57__law_12__rights_10,1.0
79__example_5__extension_8,0.0
3297__looking_27__headlamps_29,0.0
7729__equation_8__left_4,0.5
7896__penumbra_7__attract_5,1.0
273__amplifiers_18__rest_13,1.0
1107__decade_14__spread_7,0.0
10654__people_6__lots_4,0.5
22__atmosphere_13__casino_12,1.5
7780__fantastic_11__character_12,1.5
3296__eyes_33__modifications_30,0.0
5954__bushes_31__straggling_30,1.5
7904__voices_2__slaughter_6,0.0
249__capture_19__power_20,2.0
423__runs_6__business_11,0.5
350__time-consuming_2__nature_3,0.0
5895__bite_12__bark_3,1.0
3260__teeth_18__opposing_17,0.5
6091__sound_20__set_16,1.5
2370__term_15__win_9,0.0
7982__Judging_1__runs_2,1.0
384__name_3__describes_14,1.0
7631__analogy_2__[formula]_12,0.0
3330__conspicuous_13__midrib_14,0.0
7676__[formula]_19__component_51,0.0
7634__deriving_11__law_14,2.0
226__review_12__require_7,0.0
3267__bodies_8__accord_10,1.5
3066__religion_35__form_31,1.0
5961__pine_11__allowed_4,0.0
7656__magnetometer_30__sensitive_29,0.5
6006__comes_3__light_5,1.0
7981__judge_2__judges_8,0.0
1807__team_19__spooks_22,0.0
7771__cathedrals_49__blazed_50,0.0
45__goals_9__reduce_31,0.0
10590__tips_8__bloody_7,1.0
7762__feathered_26__lines_27,3.0
1825__reactions_27__provoke_24,1.0
5873__process_12__shrinking_11,0.0
7764__recorded_9__drama_14,0.5
7737__[formula_6__field_3,0.0
7660__rewritten_44__[formula]_40,0.5
273__act_9__obliged_11,1.0
226__able_4__require_7,0.0
3290__features_2__consistent_7,0.5
3261__technique_2__hunt_5,0.0
238__bodies_16__recommended_17,0.5
10345__awful_11__lot_12,1.0
49__voting_23__system_24,0.0
2812__land_10__plan_7,0.0
383__creating_16__change_13,0.0
2196__else_13__catching_19,0.0
3288__view_10__field_8,1.0
6004__swimming_20__faint_19,1.5
7676__beam_45__current_42,1.0
7728__safely_4__field_8,0.0
7676__integral_24__line_23,0.5
7606__particles_22__current_19,0.5
3428__ally_6__tend_4,0.5
319__Pub_12__gone_15,0.5
5984__imagined_13__devotion_14,0.0
7673__density_19__charge_18,0.5
7871__hair_4__shot_11,0.0
3406__relatively_9__speaking_10,1.0
7696__remember_22__charges_16,0.0
2236__bay_6__overlooking_3,0.0
22__rejects_2__charges_3,1.0
262__vote_20__rid_23,0.0
45__inequalities_35__reduce_31,0.5
2369__Governments_3__stand_10,1.0
1131__walls_3__led_29,0.0
3413__swamp-dwelling_15__swinging_8,0.0
212__departments_2__system_24,0.0
332__ripping_23__win_19,0.0
2810__excrement_14__assist_19,0.0
2321__asleep_3__fell_2,1.0
7932__trunk_8__struck_10,0.0
7619__simplified_6__[formula]_8,0.0
6003__predecessor_60__butt_57,0.0
6034__cancelled_4__passages_2,0.5
261__giving_4__power_6,0.5
7817__round_35__sliced_32,0.0
7639__coordinates_7__operates_4,0.5
7936__combination_6__produces_24,1.0
7696__charges_16__opposite_15,0.0
3413__balance_2__swinging_8,1.0
3396__remain_2__Puzzles_1,0.5
432__people_2__overcome_3,0.0
7606__played_16__current_19,1.0
1432__time_5__cheated_7,1.0
246__overwhelmingly_24__decided_23,0.5
434__distance_24__centres_27,0.0
2425__collect_5__hat_7,1.0
5851__infinity_29__intrusion_22,3.0
3427__giants_10__habits_6,0.0
3252__tundra_18__inhabitants_15,0.5
1127__fields_30__look_20,0.0
7982__runs_2__Judging_1,1.0
6000__cigarette_12__dying_9,1.5
7673__uniform_21__travel_30,0.0
7764__quarrels_20__accessible_13,0.0
415__government_17__central_16,1.0
7733__flows_52__current_51,0.5
3416__temperate_27__climates_28,0.5
303__remains_15__strong_17,0.5
2817__unsightly_5__masts_2,0.0
7913__cypresses_3__mean_9,0.5
3259__indication_18__habits_21,0.0
3250__bipedal_13__stance_14,0.5
3426__reptilian_20__rhinoceroses_21,2.5
3265__designs_8__manufactures_6,0.5
214__rebuilding_18__machine_21,0.0
1432__change_29__dramatically_30,1.0
6130__tendrils_16__caught_22,1.5
259__elites_22__giving_19,0.0
7688__conclude_14__travel_5,0.0
2196__youth_17__catching_19,1.0
7661__sections_18__following_17,0.5
227__self_26__shadow_22,1.0
7624__add_3__scalar_10,0.0
10747__composers_20__lot_17,1.0
2803__attraction-_3__merchants_4,0.0
10302__shop_13__bloody_12,1.0
10747__look_29__lot_17,0.0
415__government_17__reluctance_14,1.0
1122__months_16__advance_18,1.0
7673__charge_18__density_19,1.0
12476__add_4__add_2,0.0
1119__second-homes_15__market_16,0.0
3413__idea_13__swinging_8,1.0
224__initiate_23__ability_21,0.5
7966__darkness_8__shining_6,0.0
7801__catalogue_5__negotiated_2,0.0
7695__net_7__charge_9,0.0
7985__reason_26__wi'_25,0.5
3422__bone_6__structure_7,2.0
14943__sound_5__leave_3,2.0
5981__contingency_2__plans_3,0.0
7817__looked_3__dazzled_7,0.0
6126__film_33__set_27,0.0
3389__trilobites_3__swimmers_9,0.0
7716__pressure_17__tries_6,0.0
3047__perils_2__illustrated_9,2.0
7636__[formula]_35__strength_33,0.5
7642__using_22__form_25,0.0
7676__obtained_6__follows_18,0.5
7606__played_16__role_14,1.0
7657__measurable_18__directly_17,0.0
3043__correctness_2__grey_12,2.5
7684__repulsive_10__forces_11,0.5
3269__answer_11__reached_14,1.0
259__power_20__giving_19,0.5
268__supported_12__urging_4,0.0
7670__concept_6__charge_10,0.0
6108__advances_12__immense_11,1.0
6004__faint_19__swimming_20,3.0
7786__power_10__survivor_13,0.5
2811__farming_30__chief_25,0.0
7709__instability_40__sausage_39,3.0
7985__women_38__soft_35,1.0
3047__C4_15__illustrated_9,0.0
223__departments_24__voice_20,0.0
7606__phenomena_9__played_16,0.0
6104__cast_12__shadow_11,1.0
2806__bureaucracy_12__surrender_8,1.5
395__president_9__immediate_25,0.0
3399__obviously_5__attracted_6,0.0
6021__rally_2__stand_5,0.0
7660__magnetic_32__flux_33,0.5
7688__electric_27__forces_28,0.5
10747__lot_39__hell_36,1.0
7727__effect_3__field_7,0.5
2383__retirement_6__prepared_12,0.0
3241__presentations_37__percolate_33,2.0
7664__relative_21__significance_22,0.0
1153__windows_9__casting_10,2.0
3255__assessment_8__reconstruction_5,0.0
270__rock_5__rollers_9,0.0
7915__epilepsy_11__form_9,1.0
3239__fragments_23__reanimating_20,1.0
7692__effect_3__Pinch_2,1.0
311__Chinese_22__salubrious_21,0.5
388__users_13__bogged_17,0.5
7697__magnetic_2__strength_4,0.5
7763__obsession_12__finding_4,0.0
10688__hell_3__shock_6,0.5
1815__fallen_20__shoulders_24,1.0
6006__light_5__comes_3,0.5
6043__complied_7__nature_3,1.5
5908__agent_40__hands_36,0.0
7780__able_17__makes_14,0.0
2446__won_11__hit_5,0.0
6009__surgeon_24__branch_18,0.0
7891__hair_31__flowers_29,2.0
7688__particles_3__close_6,0.0
3321__leaf_9__scars_10,0.0
7656__engineering_22__applications_23,0.0
7__commentators_16__faced_11,0.0
3059__days_34__hangover_29,0.0
14670__sale_9__reduce_5,0.5
7683__magnetic_11__force_12,0.0
6100__newspaper_6__account_7,0.0
7769__coiled_3__lay_2,0.0
415__regime_7__reluctance_14,0.0
3330__branching_22__form_26,0.0
7695__space_8__charge_9,0.0
5851__steered_33__intrusion_22,3.0
7904__voices_2__played_3,2.5
7693__particles_27__investigate_10,0.0
7888__colours_7__rich_9,1.5
10677__tablets_14__bloody_13,1.5
373__round_14__cave_19,0.0
7928__soil_18__stretch_10,0.0
3414__dinosaur_6__habits_8,0.0
3297__bottom-dwelling_34__relatives_35,0.0
7761__past_39__closely_34,0.0
1142__market_19__lost_10,0.0
334__books_2__set_5,0.5
5943__earth_8__iron_14,0.0
324__excesses_9__form_12,1.0
434__opportunity_16__overcome_18,0.0
336__breaks_37__mould_39,1.0
272__patrons_9__rule_5,0.0
7697__current_21__substitute_18,0.0
7607__space_8__functions_6,1.0
7979__wild_4__makes_2,1.0
7899__collar_28__settling_25,0.5
3361__margin_7__toothed_6,1.0
240__responsibility_9__body_12,1.0
12433__add_4__add_2,0.0
5904__diplomatically_21__restrained_22,1.0
6043__luck_5__complied_7,1.5
44__days_16__release_6,0.0
7681__Hence_1__force_4,0.0
7635__cross-section_43__[formula]_37,0.0
303__conviction_14__strong_17,1.0
272__pint_46__decent_45,1.5
7606__current_19__played_16,1.0
7707__model_17__behaviour_24,0.0
7766__notation_52__washed_49,3.0
207__implications_23__considers_21,0.5
21__found_6__attractive_11,0.0
2309__days_5__recalled_2,0.5
3365__Seeds_1__family_5,0.5
7675__length_12__[formula]_13,0.0
7941__pavement_19__ploughed_16,1.5
7648__hard_3__tell_5,1.0
12422__equals_4__add_2,0.0
6041__liquor_31__taste_29,0.0
2390__managers_13__link_7,0.5
3309__animal_15__frozen_21,0.0
278__imaginative_30__handles_31,1.5
3386__token_4__barrier_24,0.0
10577__completely_32__lost_33,0.0
12568__time_14__divided_17,0.0
3257__organisms_9__related_8,0.5
214__Labour_9__contemplate_4,0.0
7797__attention_11__scanning_10,2.5
227__shadow_22__self_26,0.5
7763__material_16__finding_4,0.0
7796__historian_12__assumed_2,0.0
7710__deflected_23__field_27,0.0
7614__form_12__satisfy_17,0.0
3046__error_20__fall_16,1.5
15066__baby_7__fine_4,0.0
7900__hard_20__frame_21,0.0
7710__leading_37__weaker_33,0.0
350__nature_3__combined_12,1.0
2321__hours_7__fell_2,0.0
57__reduce_14__immunities_19,0.0
7940__family_9__tried_15,0.0
12519__yeah_1__divisions_3,0.0
5968__catch_19__dropped_9,0.0
353__books_15__lot_11,0.5
41__implementation_12__accompanied_9,0.5
251__first-past-the-post_4__system_5,0.0
7683__electric_19__force_12,0.0
5895__anyway_5__bark_3,0.0
256__compromise_15__inferior_25,0.0
7678__electron_6__charge_8,0.0
3240__vividly_13__coloured_14,1.0
1448__battle_35__break_44,0.0
7733__surface_63__charge_64,0.5
7943__bear_21__transplantation_23,1.0
7603__Steady_1__currents_2,0.5
212__act_15__system_24,0.0
3240__ideas_3__reconstructions_15,0.0
8__charges_4__regards_2,0.5
3414__living_7__habits_8,0.0
1142__streets_15__lost_10,0.0
7670__elementary_9__charge_10,0.5
7904__slaughter_6__played_3,2.5
7687__electric_9__forces_12,1.0
7648__tell_5__hard_3,0.5
7642__obtained_29__form_25,0.0
58__society_11__power_9,0.5
3432__cons_4__pros_2,0.0
1815__invitation_5__dodged_2,1.0
7741__valid_7__resistance_6,0.0
2209__impressed_11__contribution_14,0.0
3240__inferences_40__scenes_37,1.0
3413__swamp-dwelling_15__balance_2,0.0
2315__joy_20__unconfined_21,2.0
270__rollers_9__Pint-sized_4,0.0
2201__cup_6__boots_9,0.0
7703__larger_26__forces_23,0.5
7721__moved_8__carriers_7,0.0
7649__usually_14__remains_15,0.0
10605__arteries_12__bloody_11,1.5
2435__European_10__Plan_11,0.0
2197__rapidly_3__coming_4,0.0
7636__magnetic_31__strength_33,0.0
54__change_25__system_30,0.0
2362__feelings_3__gut_2,1.5
7815__suggest_2__dream_8,1.0
317__view_38__ensuring_36,0.0
249__smash_8__decrepit_10,0.0
7706__symmetry_15__possess_12,1.0
272__policy_40__comes_41,0.5
7725__magnetic_5__field_6,1.0
415__regime_7__makes_24,0.5
7681__electron_7__force_4,0.0
349__partnership_5__strength_2,1.0
222__override_6__antagonise_20,0.0
7760__deliberate_19__form_15,0.0
7635__confined_10__density_8,1.0
7674__belongs_18__subject_21,1.0
3365__pairs_9__wings_19,0.0
3297__analogy_2__found_4,1.0
7728__current_14__flow_15,0.0
7621__usually_4__assign_5,0.5
5954__trees_33__lay_21,0.0
6003__ice-free_64__laced_69,0.0
5938__lives_8__broke_10,0.5
7743__eqn_16__law_23,1.0
3285__interpret_16__able_14,0.0
7627__density_4__current_3,1.0
434__learning_29__centres_27,1.0
7772__metaphor_3__motif_6,0.0
2458__media_16__stooging_13,3.0
5934__bit_9__nose_7,0.0
7920__ego_12__flight_4,2.0
7639__curl_3__operates_4,1.5
3061__scheme_6__unqualified_11,0.0
212__quangos_4__act_15,1.0
7624__A'_16__[formula]_24,0.0
7683__negligible_14__approaches_27,0.0
5853__item_3__allowed_5,0.5
5892__tin_28__blast_25,0.0
7724__electric_12__fields_13,1.0
7693__beam_13__investigate_10,1.0
6126__stepping_24__scenario_29,0.0
1414__Brutality_1__bitter_12,2.0
59__legislation_21__see-sawing_17,2.0
5951__winds_14__whipping_13,2.5
7953__specialist_7__blows_10,0.0
3415__controversy_8__powerful_7,2.0
15124__card_7__bloody_6,1.5
1412__sound_16__running_20,0.0
3414__strongly_12__aspects_3,0.0
14999__bit_4__reckon_9,0.0
3319__occurring_13__seams_17,0.0
7771__Gothic_48__blaze_41,0.0
254__centre_16__ground_17,0.5
1815__shoulders_24__fallen_20,0.5
7758__refused_25__ruggedly_24,2.5
6048__bones_9__lot_6,0.5
58__balance_7__power_9,1.5
7937__anguish_20__impression_18,2.0
6136__somehow_7__severe_6,0.0
7644__sense_3__path_7,0.5
7693__example_6__contrast_2,0.0
7640__derived_6__directly_7,0.0
414__money_9__bit_16,0.0
3241__discoveries_32__percolate_33,3.0
7937__straight_23__aiming_22,0.0
7697__particles_36__refer_31,0.0
3316__Silurian_13__spread_4,0.0
7631__solution_5__[formula]_12,0.5
7755__life_13__schooled_15,3.0
7636__wire_15__constant_12,0.0
7928__left_8__stretch_10,0.0
7933__green_16__avalanche_13,-1.0
6108__immense_11__advances_12,1.0
10__profits_7__regard_5,1.0
7936__called_32__produces_24,0.0
7676__total_41__current_42,0.0
3251__setting_24__diagnoses_21,1.0
6126__frightening_32__film_33,0.5
373__fire_16__round_14,0.5
3251__modes_39__restraints_36,0.5
367__technically_10__lot_3,0.0
7657__vector_2__potential_3,0.5
2201__feet_20__slipping_17,0.0
299__charts_29__foray_26,1.0
7910__natural_8__held_4,0.0
5875__dividing_21__moved_12,0.0
422__bringing_9__stake_5,0.0
2806__smell_23__regulate_21,1.0
7834__pattern_16__muted_14,1.5
22__corporate_18__life_19,1.0
273__thumb_4__rule_2,1.5
7731__filled_25__[formula_31,0.5
7734__current_21__lines_19,1.0
1424__producers_27__dug_29,0.0
5896__virtually_3__bite_5,0.5
7947__story_5__pieced_3,1.0
23__figures_24__added_20,0.5
262__voting_14__system_15,0.5
3270__obtained_7__answers_4,0.5
1448__grip_46__break_44,1.5
7607__variables_3__functions_6,0.0
